Date,T2M,temperature_2m_min (°C),rain_sum (mm),humidity at 000 utc %,humidity at 000 utc %,pressure at 1200 utc%,windspeed at 1200utc%
14/12/2021,20,1.5,0,92,59,956.1,0
15/12/2021,17.5,2.4,0,92,54,956.9,0
16/12/2021,17,1,0,91,46,959.1,10
17/12/2021,17.5,0,0,91,44,958.2,4
18/12/2021,17,-1,0,91,40,957.7,0
19/12/2021,18.5,-1,0,91,34,956.9,0
20/12/2021,19.5,-1.2,0,91,46,955.3,0
21/12/2021,19,0.9,0,92,50,954.2,0
22/12/2021,19,1.5,0,93,49,952.5,0
23/12/2021,20,4.4,0,86,44,952,0
24/12/2021,21,3.5,0,93,50,952.7,0
25/12/2021,20.5,3.5,0,92,51,954.7,0
26/12/2021,20.5,4,0,93,68,957.6,0
27/12/2021,15,8,4,93,88,959.2,0
28/12/2021,13,1.5,3.8,92,46,956.2,0
29/12/2021,17.5,1,0,92,42,956.6,2
30/12/2021,20,1.5,0,92,38,961.5,0
31/12/2021,18,1.5,0,92,46,959.3,0
01/01/2022,18,1.5,0,92,62,958.9,0
02/01/2022,14.5,2.8,0,92,40,958.1,2
03/01/2022,20,2.9,0,92,63,956.5,0
04/01/2022,15.2,5.8,3,93,100,956.8,0
05/01/2022,11.5,7,21.3,100,94,953.3,0
06/01/2022,11.5,8.5,16,100,94,956.4,0
07/01/2022,13,8.5,4,93,94,951.7,0
08/01/2022,13,8.5,73.9,94,63,954.1,0
09/01/2022,15.5,7.5,0,93,52,953.2,0
10/01/2022,18,5.5,0,93,60,957.6,0
11/01/2022,16.5,3.5,0,92,41,955.1,2
12/01/2022,19.5,2,0,92,53,956.3,0
13/01/2022,19,3,0,92,40,955.6,0
14/01/2022,19,2.5,0,92,45,954.9,0
15/01/2022,19.5,2,0,92,58,957.2,0
16/01/2022,16,2.5,0,92,59,957.1,0
17/01/2022,16.7,2.9,0,87,82,958.3,0
18/01/2022,11.7,5.5,0,93,57,954.2,4
19/01/2022,19.2,6,0,93,74,953.7,0
20/01/2022,15,9,0.7,94,53,948.8,0
21/01/2022,18,7,0,93,78,949.1,0
22/01/2022,14,8,2.4,94,100,948,0
23/01/2022,10.5,7.4,19.9,93,94,949.4,0
24/01/2022,9.6,7.9,33,93,64,951.9,4
25/01/2022,16.5,4,0,93,56,952,2
26/01/2022,17.5,3,0,92,51,953.1,4
27/01/2022,17.5,1,0,91,47,955.7,4
28/01/2022,18.2,1.5,0,92,36,953.6,4
29/01/2022,19.3,2,0,92,42,954.9,0
30/01/2022,20,2.5,0,92,41,948.8,0
31/01/2022,20,3.9,0,92,46,950.7,0
01/02/2022,19.2,4.5,0,92,42,949.1,4
02/02/2022,21,4.5,0,92,73,949.2,0
03/02/2022,16.5,5,4,81,68,946.7,4
04/02/2022,15.3,5.5,0,93,64,948.2,0
05/02/2022,16,5,0,93,48,951.3,2
06/02/2022,18,6,0,93,61,952.9,0
07/02/2022,17,7.3,0,82,52,954.7,2
08/02/2022,20.5,5,0,93,43,950.8,0
09/02/2022,20,5.5,0,55,35,954.6,4
10/02/2022,20.5,2.3,0,92,32,955.7,2
11/02/2022,19.7,2.5,0,92,30,953.2,4
12/02/2022,21.5,2,0,92,24,951,0
13/02/2022,22.5,3,0,92,30,950.4,0
14/02/2022,22,5.8,0,86,48,952.4,0
15/02/2022,21,5.5,0,93,43,952.6,2
16/02/2022,23,6.2,0,93,40,949.2,2
17/02/2022,22.2,5.3,0,93,45,950.6,2
18/02/2022,22.4,6.5,0,93,35,951.5,2
19/02/2022,21,4.5,0,93,29,951.7,4
20/02/2022,23,5,0,79,24,945.1,4
21/02/2022,23.5,4.7,0,66,21,946.5,2
22/02/2022,25,8,0,57,54,948.4,4
23/02/2022,21.5,10,8.8,88,79,955.3,0
24/02/2022,14.2,8,0.4,93,56,953.8,0
25/02/2022,20,7.5,0.2,93,82,955.6,2
26/02/2022,12.5,6.5,5.6,93,58,957.2,2
27/02/2022,18.5,4.2,0,93,35,957.9,0
28/02/2022,21,4.8,0,86,36,954.4,0
01/03/2022,21.5,5.7,0,73,32,955.6,2
02/03/2022,22.5,8,0,93,51,954.5,0
03/03/2022,24.5,10,2,78,79,957,2
04/03/2022,15.5,6.5,2.8,93,40,955.6,2
05/03/2022,25.5,8,0,94,49,952.8,0
06/03/2022,24,11,0,77,68,952.7,8
07/03/2022,22.5,11.5,34,94,55,956.3,0
08/03/2022,22.5,9.5,0,94,52,953.4,4
09/03/2022,24.5,10.2,0,94,50,954,4
10/03/2022,25,10,0,94,36,951.2,2
11/03/2022,27.5,10.5,0,94,40,951.1,4
12/03/2022,29.5,11,0,83,41,949.7,2
13/03/2022,29.5,11.3,0,88,36,949.4,4
14/03/2022,31,13.4,0,89,37,949.3,0
15/03/2022,32.5,16,0,90,34,947.6,2
16/03/2022,32.5,14,0,90,35,946.6,2
17/03/2022,35,14.5,0,85,33,945.4,4
18/03/2022,35.6,18,0,78,57,945.6,6
19/03/2022,30.5,17,6.5,73,49,945.2,0
20/03/2022,31.5,16,0,95,43,944.8,0
21/03/2022,31.5,15.3,0,95,38,948.7,2
22/03/2022,31.7,13.5,0,95,28,947.4,2
23/03/2022,33.5,12.5,0,84,40,946.2,0
24/03/2022,31.5,15,0,72,36,945.3,2
25/03/2022,31,12.5,0,89,26,947.6,14
26/03/2022,31.5,12,0,84,29,946.9,4
27/03/2022,33.5,12.7,0,78,26,947.2,0
28/03/2022,33.5,15.3,0,80,34,946.5,0
29/03/2022,32.2,15,0,75,43,946.6,0
30/03/2022,34,13.5,0,89,30,946.3,2
31/03/2022,33.2,12.5,0,84,24,949.9,4
01/04/2022,33.2,12.5,0,94,22,945.3,6
02/04/2022,35,12.5,0,78,28,947.7,4
03/04/2022,33,17.3,0,68,29,948.7,2
04/04/2022,33.5,13.8,0,89,25,948.7,2
05/04/2022,34.2,13,0,84,23,950.6,0
06/04/2022,35.2,13.5,0,84,24,949.1,2
07/04/2022,36,14.5,0,84,23,948,0
08/04/2022,36.6,15,0,84,36,945.3,0
09/04/2022,37.5,18.5,0,62,27,945.3,2
10/04/2022,38,17,0,81,24,944.4,4
11/04/2022,37.5,16.4,0,81,39,943.1,0
12/04/2022,38.7,16,0,81,54,942,0
13/04/2022,35.7,20,0.4,60,36,942.7,0
14/04/2022,34.7,17,0,77,28,942.8,4
15/04/2022,34.8,17,0,72,29,942.9,2
16/04/2022,35,16,0,76,21,941.6,2
17/04/2022,36,16.7,0,67,24,943.8,4
18/04/2022,37,17.8,0,77,28,946.1,0
19/04/2022,38,18,0.1,67,34,948.7,4
20/04/2022,34.2,17,0,86,39,946.3,0
21/04/2022,35.7,17,6.8,95,36,947.3,4
22/04/2022,32.5,18,0.9,69,44,948.1,0
23/04/2022,32,15.5,0,90,25,948.5,2
24/04/2022,33.7,15.8,0,80,29,944.8,2
25/04/2022,35,18.4,0,74,24,944.7,4
26/04/2022,34.7,17,0,76,24,945.7,2
27/04/2022,36.2,17.5,0,77,19,943.6,2
28/04/2022,39.2,19.5,0,62,38,944.1,0
29/04/2022,40.5,20.5,0,61,19,943.4,6
30/04/2022,39.5,20.5,0,63,21,940.7,0
01/05/2022,40,20,0,74,25,940.8,2
02/05/2022,41,21,0,63,37,939.3,2
03/05/2022,37.2,20,10,91,41,944.3,0
04/05/2022,33.5,20.5,0,71,47,949.8,4
05/05/2022,29,17,7.9,95,32,945.2,2
06/05/2022,34.5,20,0,67,25,945.2,0
07/05/2022,36,18,0,73,19,944.8,4
08/05/2022,37,19.7,0,69,32,943.3,2
09/05/2022,37.5,22.4,0,72,35,942.5,2
10/05/2022,38.2,19.5,19,86,35,942.6,0
11/05/2022,37.7,20,0,83,34,940.8,0
12/05/2022,39.5,21,0,61,26,939.1,4
13/05/2022,40,22,0,68,15,937.9,14
14/05/2022,40.5,19,0,65,22,936.9,0
15/05/2022,43,23.3,0,54,19,938.8,6
16/05/2022,41.5,26,0,34,21,939.3,2
17/05/2022,40.7,23,0,54,43,939.7,20
18/05/2022,40,18.5,1,86,29,943.4,2
19/05/2022,38,21,0,75,69,945.6,6
20/05/2022,40,22.5,3.4,58,39,938.8,2
21/05/2022,33.5,18.5,1.6,77,23,938.1,2
22/05/2022,38,18.4,0,73,27,933.8,18
23/05/2022,38,21.5,0,46,38,940.5,2
24/05/2022,31,17.8,0,65,35,946,2
25/05/2022,33,19,0,78,40,944.3,0
26/05/2022,35,21,0,79,35,940.9,2
27/05/2022,37.5,23,0,76,38,937.3,2
28/05/2022,38.5,21,4.8,72,27,938.7,0
29/05/2022,38.2,22,0,75,39,941.2,16
30/05/2022,39.2,22.7,0,65,29,941,2
31/05/2022,38,20.5,0,79,37,941.1,6
01/06/2022,38,19,0,74,31,942.1,0
02/06/2022,38.2,19.5,0,74,28,941.3,2
03/06/2022,39,19.6,0,69,21,939.5,10
04/06/2022,40.5,20.5,0,62,20,939.8,4
05/06/2022,41,21.8,0,54,22,939.9,2
06/06/2022,42.3,22.2,0,54,22,938.5,4
07/06/2022,43,23,0,55,24,938.4,16
08/06/2022,43.2,23.5,0,58,23,936.6,0
09/06/2022,43,24.5,0,48,26,935.8,2
10/06/2022,43,23.5,0,62,26,936.1,2
11/06/2022,42,22.5,0,61,15,938.5,6
12/06/2022,41.3,23,0,54,17,937.9,0
13/06/2022,42,22.2,8,72,20,940.8,2
14/06/2022,40.5,23,0,62,15,939.5,4
15/06/2022,43,24.5,0,56,16,936.2,2
16/06/2022,44,26,0,55,35,938,4
17/06/2022,38.7,21,35.4,96,48,940.4,0
18/06/2022,33,22,0,87,55,941.9,0
19/06/2022,31,19.3,8,95,40,940.7,0
20/06/2022,33,19.8,5,91,59,940.9,0
21/06/2022,30,18.5,8.5,78,100,941.6,4
22/06/2022,23,16.5,68.5,95,57,948.6,2
23/06/2022,31,19,0,82,32,945.4,4
24/06/2022,34,19.5,0,82,27,940.1,4
25/06/2022,37.5,20,0,83,27,938.9,0
26/06/2022,40,23,0,72,28,940.5,0
27/06/2022,40,25.3,0,73,30,940.3,0
